Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,7504.0,1401.0197299999622
393.329224,17275.0,7647.122572499846
396.805176,15432.0,8787.085586000134
422.653564,7535.0,3024.7187355001424
455.343231,16387.0,6494.520583209965
493.341888,54510.0,15076.275768999378
495.753235,5371.0,4317.996533499953
498.151276,5594.0,5079.880045499984
517.276123,9462.0,6441.615187000341
518.34314,14304.0,6683.396537499978
526.976196,10002.0,6398.38772449983
553.5755,24524.0,9279.366214000001
558.865723,10558.0,7214.677451500412
559.86145,5418.0,6606.864720500166
585.378845,7573.33252,5741.767101150116
589.001099,64134.859375,58342.45513414199
589.598083,55856.375,56480.694194661744
611.098938,5582.0,4883.4397324997335
612.284607,6782.0,4872.496891500109
614.184937,26500.0,11059.222609999473
616.267883,9494.0,6051.362837500219
649.718262,13074.0,6279.736755000031
670.74408,7010.0,2773.9254570000303
705.924316,5983.0,2713.22098750001
766.480957,26320.0,12604.286683499899
769.835693,22185.0,8365.554338499673
819.454224,14209.0,6185.737784500419
