Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,17426.0,2749.8421784998854
393.329224,12982.0,6035.056619499886
396.805176,11071.0,7011.309895000083
422.653564,5859.0,2738.8476500001134
455.343231,15828.0,7391.175883061554
493.341888,54858.0,16479.525214999358
517.276123,7083.0,5453.446067000254
518.34314,10053.0,5737.539888500017
526.976196,5988.0,5009.215718999845
553.5755,27199.0,9522.820546500032
558.865723,6622.0,5513.705416000206
568.889038,5384.0,6350.228502000236
585.378845,8235.489258,5921.068979719911
589.001099,63037.4375,61976.38203151934
589.598083,55375.253906,59701.130220154475
611.098938,6840.0,4393.476566499682
614.184937,26804.0,11386.479248999456
616.267883,6072.0,4621.292033000166
649.718262,13611.0,6783.572452499958
670.74408,5678.0,2182.6105160000243
705.924316,8442.0,3545.231238500035
728.002747,6751.0,2626.940422999943
766.480957,26112.0,14377.299957999987
769.835693,22175.0,9423.172066499666
819.454224,14922.0,7908.561463500385
