Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,6149.0,1136.7217059999634
393.329224,17178.0,7528.278252499865
396.805176,14742.0,8524.822494000116
422.653564,6953.0,3197.320151500141
455.343231,17763.0,7984.703073868858
481.01062,5416.0,3982.3095010001052
490.00473,5174.0,6084.353325499982
493.341888,64106.0,19240.54722049923
495.753235,5332.0,4817.428690499941
498.151276,5423.0,5548.3645544999945
517.276123,9427.0,6821.90207350033
518.34314,14091.0,7157.649025999991
526.976196,9066.0,6571.437462499805
553.5755,28029.0,10153.793974500011
558.865723,9397.0,7173.01150200035
568.889038,5853.0,6876.979364000255
585.378845,9135.835937,6563.67196445227
589.055481,64316.496094,65697.05996164537
589.620789,61115.792969,62869.102977670635
611.098938,6303.0,4880.994249499711
612.284607,5692.0,4603.982236500113
614.184937,30139.0,12588.882047999406
616.267883,7815.0,5625.712480000209
649.718262,14734.0,7179.756464000008
670.74408,6503.0,2637.5221900000115
705.924316,7442.0,3379.3727530000115
728.002747,5573.0,2361.2166754999507
766.480957,28732.0,14222.826841999884
769.835693,25050.0,9559.994126999632
819.454224,15863.0,7733.616043000423
