Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,6616.0,1245.197754499959
393.329224,12139.0,5826.631645499856
396.805176,10923.0,7348.634269000079
422.653564,5259.0,2599.6900420001148
455.343231,13155.0,5980.82423681774
493.341888,52309.0,14467.251057499408
498.151276,5151.0,4592.064713999986
517.276123,8096.0,5648.618638000296
518.34314,11892.0,5907.902493500002
526.976196,6075.0,4683.412796999906
553.5755,21047.0,7513.065032000024
558.865723,5500.0,4822.826636000162
585.378845,6781.226074,4788.419896713085
589.001099,59584.445312,49867.08675141865
589.620789,50893.960937,48239.05001035315
614.184937,22697.0,9073.103223499524
649.718262,10965.0,5145.341353500019
670.74408,6063.0,2221.118289000037
766.480957,24789.0,11334.412383999868
769.835693,20845.0,7624.94012949969
819.454224,11370.0,5058.987416500326
