Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,5094.0,956.7676399999702
393.329224,17518.0,7583.4120644998375
396.805176,15398.0,9077.661179500134
422.653564,8319.0,3512.120930000166
455.343231,14221.0,5603.431455465323
493.341888,50102.0,13415.773176499437
495.753235,5736.0,4221.073287499956
498.151276,5580.0,4928.621275999981
517.276123,11641.0,6859.360344000422
518.34314,17552.0,7108.53380899994
526.976196,9355.0,5919.249204499837
553.511841,20179.0,7665.817883500105
558.865723,8963.0,6411.982372500357
568.829224,5335.0,5711.521867499976
585.378845,5614.865723,4971.364148339202
588.987366,64237.101562,61422.13296902528
589.598083,58324.433594,59233.80842269269
612.284607,5653.0,4351.492314000107
614.184937,20418.0,8693.459102999599
616.267883,8028.0,5601.424255000191
649.718262,9560.0,5018.708745500017
670.74408,7492.0,2771.1698845000674
766.480957,27428.0,13045.66615449987
769.835693,22928.0,8832.560934499666
819.454224,15663.0,6832.188728500435
