Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,5136.0,1105.787160999971
393.329224,20092.0,8154.466376999813
396.805176,17247.0,9993.545543000146
422.653564,8502.0,3396.1921485001676
455.343231,19739.0,7708.533677389877
481.01062,5004.0,3865.800581000103
490.00473,5171.0,5961.0837244999775
493.341888,64389.0,18798.30288099922
495.753235,6879.0,5002.968690999947
498.151276,6156.0,5703.462579999983
517.276123,15132.0,8595.621075000565
518.34314,23240.0,9043.53412999996
526.976196,10486.0,6826.763053999839
532.819397,5606.0,4227.579059000105
553.5755,27434.0,9571.94418400003
558.865723,9518.0,7078.248721000353
568.829224,6147.0,6928.182382499961
585.378845,8855.850586,6229.556711948807
588.987366,64245.90625,67608.06325274399
589.620789,64045.71875,64985.77726105703
611.098938,5321.0,4563.194611499736
612.284607,5189.0,4345.796059000091
614.184937,30274.0,11984.02293649937
616.267883,7612.0,5409.422093500195
649.718262,14331.0,6779.327043500011
670.74408,8567.0,3044.9632615000573
705.924316,6358.0,3011.33526850001
766.480957,31396.0,14531.715846999867
769.835693,26342.0,9705.190160499615
819.454224,17093.0,7668.951914000495
