Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,13100.0,2231.1544124998964
393.329224,10389.0,4525.645815999879
396.096039,10578.0,6510.8241680000765
455.343231,10706.0,4192.138134787301
493.341888,38078.0,11119.276415999597
498.151276,5249.0,4389.883749999979
517.276123,8956.0,5674.438930000325
518.34314,13329.0,5977.066243000013
526.976196,5496.0,4123.453130999907
553.511841,14469.0,5502.640876500086
589.001099,49766.359375,40351.20219853378
589.598083,40780.4375,39099.80811186948
614.184937,15086.0,6438.148275499713
649.718262,6849.0,3491.258120000003
670.74408,5771.0,2023.5771115000514
766.480957,21328.0,10295.362444499919
769.835693,17923.0,6993.479357999739
819.454224,8842.0,3934.93548750025
