Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,7821.0,1552.675838499955
393.329224,17038.0,7812.311429999863
396.805176,14798.0,8806.327999500121
422.653564,7020.0,3365.4272490001367
455.343231,14897.0,6116.288787585595
493.341888,52426.0,15171.896433999395
495.753235,5368.0,4758.483595999938
498.151276,5771.0,5415.100933999995
517.276123,15355.0,8700.79704800057
518.34314,23424.0,9268.175015499892
526.976196,10762.0,7312.501911499795
553.511841,21266.0,9006.393212500125
558.865723,11931.0,8350.28054150051
559.86145,6225.0,7632.626202500229
568.829224,5034.0,6044.687267999929
585.378845,6809.166992,5903.035306065669
589.001099,57732.539062,53542.19612508413
589.598083,49339.515625,51736.783234324546
611.098938,5095.0,5424.727393499721
612.284607,7340.0,5590.268361500139
614.184937,24364.0,10641.648768499523
616.267883,9787.0,6724.846445500224
643.940125,5254.0,2685.28458200009
649.718262,11227.0,5663.015546500046
670.74408,7849.0,2979.909260000058
705.924316,5168.0,2788.7471400000045
766.480957,28120.0,15001.597480499928
769.835693,24452.0,10169.164643499651
819.454224,12224.0,5600.51052200033
