Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,9283.0,1655.5577389999462
393.329224,10950.0,5513.162826999879
396.096039,9745.0,6776.15740950006
422.653564,5754.0,2666.9199670001226
455.343231,10855.0,4869.670295612558
493.341888,56103.0,15305.659920499336
495.753235,5187.0,4215.521820499949
517.276123,9337.0,6410.471344000349
518.34314,14777.0,6692.590034499938
526.976196,8393.0,5666.11973999984
553.511841,24884.0,8438.120516500096
558.865723,7669.0,5947.373311000306
585.378845,6637.811523,5051.346456160674
589.001099,62297.144531,53318.94812636994
589.598083,53563.179687,51419.940442782725
614.184937,19717.0,8149.659107499594
616.267883,6455.0,4497.286194000165
649.718262,9523.0,4665.820847500035
670.74408,7243.0,2509.326634500084
766.480957,25430.0,11756.96879249988
769.835693,21442.0,7807.304214499694
819.454224,12010.0,4995.797044000348
