Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,13416.0,2220.217548499909
393.329224,14391.0,6673.935962999855
396.805176,12436.0,7796.843823000092
422.653564,7824.0,3432.898735000159
455.343231,18735.0,8548.176578183644
481.01062,6565.0,4252.522087000132
490.00473,6726.0,6679.610086499986
493.341888,64379.0,22271.38812599926
498.151276,5452.0,5649.8877754999985
517.276123,8766.0,6575.0842650003115
518.34314,12557.0,6951.196163000042
526.976196,7771.0,6117.80862249983
553.511841,38477.0,12392.670413000154
558.865723,9472.0,6871.193274500392
568.889038,7168.0,8073.3081525002835
577.754272,5579.0,5038.1543434998775
585.378845,11723.111328,7704.724504360222
588.916931,64221.625,74936.42408578104
589.598083,63618.324219,72571.41034960542
606.310608,6809.0,4435.148872999946
611.098938,9640.0,5841.305424999576
612.284607,5710.0,4801.680811000136
614.184937,37132.0,15111.668776999182
616.267883,8030.0,5945.256003000235
649.718262,19713.0,9172.320568499965
670.74408,8086.0,3103.4596055000898
705.924316,10209.0,4190.967864500064
728.002747,8798.0,3061.6030959999434
766.480957,30547.0,16806.6862155
769.835693,26221.0,10909.035774999613
819.454224,19164.0,9574.38790550051
