Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,15995.0,2656.054622999898
393.329224,12497.0,5774.639092999876
396.805176,10782.0,6855.704604000086
422.653564,5570.0,2604.7211915001158
455.343231,14859.0,6596.279795685526
493.341888,53412.0,15877.856940999367
517.276123,8636.0,5961.933064000314
518.34314,12401.0,6216.792062499993
526.976196,6472.0,5130.141465999856
553.511841,24259.0,8674.825490000116
558.865723,7167.0,5631.2073760002695
568.889038,5224.0,6136.06823800022
585.378845,7977.818848,5734.386965834694
589.001099,52293.8125,53795.44021790746
589.598083,45633.382812,51855.250014581456
611.098938,6653.0,4556.500413499705
614.184937,27501.0,11331.543241999414
616.267883,6471.0,4811.917429500174
649.718262,14223.0,6911.314533999991
670.74408,6549.0,2594.1716925000246
705.924316,7278.0,3025.1318650000176
728.002747,5861.0,2217.238414999957
766.480957,22948.0,12676.501672499999
769.835693,19745.0,8287.339630999717
819.454224,13572.0,7057.243348000339
