Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,5128.0,1088.4257229999757
393.329224,20038.0,8207.756110999826
396.805176,17346.0,9644.108481500152
422.653564,7651.0,3270.584770000155
455.343231,17416.0,6603.501831402142
493.341888,63077.0,16987.353494499286
495.753235,5055.0,4292.884991499942
517.276123,9516.0,6531.27043850035
518.34314,14386.0,6749.683263999955
526.976196,8221.0,5676.521002999843
553.511841,24204.0,8432.193464000095
558.865723,8198.0,6223.817829000313
568.829224,5197.0,5807.704848999952
585.378845,6969.328613,5459.0667793899975
588.987366,64236.375,60756.98841909249
589.620789,60369.261719,58361.222550501385
614.184937,26822.0,10607.716573499405
616.267883,6827.0,5180.477791500177
649.718262,12360.0,5849.261255500043
670.74408,7949.0,2938.3971840000813
766.480957,29654.0,13810.46852099985
769.835693,24992.0,9332.00719149964
819.454224,15053.0,6470.127664000428
