Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,5478.0,1033.3948804999718
393.329224,16770.0,6814.6224194998085
396.096039,17356.0,9745.684936500114
422.653564,8205.0,3308.806389000172
455.343231,7409.0,3545.1149837392127
493.341888,34128.0,9930.615502499613
495.753235,5476.0,4568.730281999944
498.151276,6488.0,6182.95872399998
517.276123,15828.0,8589.676678000604
518.34314,24015.0,9010.77807149995
526.976196,7562.0,5342.143794499859
553.5755,14544.0,6495.85863099998
558.865723,6245.0,5568.235464000189
568.829224,12266.0,12151.383415000055
588.783569,64285.910156,90616.65326103693
614.184937,11453.0,5642.038560499844
616.267883,6895.0,5653.450177500205
649.718262,5074.0,3239.208070500017
670.74408,10184.0,3506.1427915000977
766.480957,32631.0,14409.8025314998
769.835693,27243.0,9763.133312499605
819.454224,26123.0,14323.431238500627
