Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,10017.0,2034.5788164999462
393.329224,14907.0,6503.3831374998645
396.805176,12597.0,7809.480889500105
422.653564,5891.0,2696.1026305001205
455.343231,16220.0,7007.642994803138
493.341888,60253.0,17706.723687499307
498.151276,5336.0,5287.282210999993
517.276123,9456.0,6616.941663500346
518.34314,13751.0,6947.772098000017
526.976196,7495.0,5718.5017289998395
553.511841,27088.0,9678.524044000153
558.865723,8042.0,6295.884643000289
568.829224,5847.0,6723.145345999968
585.378845,8774.222656,6255.024951160144
588.987366,64251.578125,64635.37929416499
589.598083,57846.34375,62207.46440767916
611.098938,6654.0,4784.323294999695
612.284607,5107.0,4331.487524000101
614.184937,30040.0,12306.755635999363
616.267883,7108.0,5236.168547000186
649.718262,15020.0,7010.389679999998
670.74408,7306.0,2649.0199725000557
705.924316,7216.0,3111.164600500015
728.002747,5557.0,2167.02719699995
766.480957,27155.0,13765.013546999944
769.835693,22756.0,9098.285495499673
819.454224,15207.0,7361.485312500412
