Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,7500.0,1422.8195369999567
393.329224,16210.0,6623.648809499851
396.805176,13423.0,8194.575846500122
422.653564,6463.0,2707.082782000135
455.343231,17990.0,6658.927267417997
493.341888,58319.0,15990.731104499326
495.753235,5420.0,4341.205625999951
498.151276,6978.0,5421.223052499962
517.276123,10818.0,6957.609030000419
518.34314,16457.0,7201.948851999955
526.976196,8397.0,5677.198860999841
553.511841,27018.0,8742.279835000083
558.865723,7674.0,5885.461970000319
568.829224,5204.0,5795.188007999959
585.378845,6994.195312,5332.089736999395
588.987366,64190.367187,59092.69681969487
589.598083,57691.949219,56827.97725322102
611.098938,5153.0,4119.640824499743
614.184937,26824.0,10232.64581299938
616.267883,6198.0,4481.38688100016
649.718262,12768.0,5842.451544000038
670.74408,8765.0,3064.3093075001107
705.924316,5448.0,2652.242847000026
766.480957,27626.0,13443.301803499915
769.835693,23181.0,8923.127586499666
819.454224,13948.0,5675.963662500409
