Comprimento de Onda (nm),Intensidade Máxima,Área do Pico
266.002289,18118.0,2965.9494824998783
393.329224,9951.0,4713.568119999906
396.805176,9529.0,5521.171840000085
422.653564,5330.0,2005.3760355000968
455.343231,10495.0,4118.117980921411
493.341888,33750.0,10513.248158499611
495.753235,5052.0,3957.138921999958
498.151276,5417.0,4661.568701999978
517.276123,8153.0,5654.264479500303
518.34314,12151.0,5848.347595999979
526.976196,10463.0,6083.2098734998235
553.511841,21176.0,8061.736464000121
558.865723,9786.0,6499.367201000423
585.378845,5262.984863,4600.465450958017
588.987366,50801.640625,48370.83987080151
589.598083,44094.734375,46624.607176007565
612.284607,5836.0,4182.066550500094
614.184937,16822.0,7729.8847814997025
616.267883,7984.0,5192.823697500202
649.718262,8468.0,4617.985448000003
670.74408,6507.0,2496.6405545000507
705.924316,5216.0,2238.322844000022
766.480957,22211.0,11292.49863299994
769.835693,19388.0,7517.111700499721
819.454224,11455.0,4815.522100000339
